#DATE;HOUR;HOME-TEAM;SCORE;AWAY-TEAM
29/03/2003;18:00;Guarani/SP;4x2;Vasco/RJ
29/03/2003;18:00;Atlético/PR;2x0;Grêmio/RS
30/03/2003;18:00;Goiás/GO;2x2;Paysandu/PA
30/03/2003;18:00;Corinthians/SP;0x3;Atlético/MG
30/03/2003;16:00;Flamengo/RJ;1x1;Coritiba/PR
30/03/2003;16:00;Criciúma/SC;2x0;Fluminense/RJ
30/03/2003;16:00;Juventude/RS;2x2;São Paulo/SP
30/03/2003;16:00;Fortaleza/CE;0x0;Bahia/BA
30/03/2003;16:00;Vitória/BA;1x1;Figueirense/SC
30/03/2003;16:00;Cruzeiro/MG;2x2;São Caetano/SP
30/03/2003;16:00;Internacional/RS;1x1;Ponte Preta/SP
30/03/2003;16:00;Santos/SP;2x2;Paraná/PR
05/04/2003;16:00;Fluminense/RJ;1x1;Fortaleza/CE
05/04/2003;16:00;Atlético/MG;0x0;Santos/SP
05/04/2003;18:00;Grêmio/RS;3x1;Guarani/SP
05/04/2003;16:00;Coritiba/PR;0x1;Internacional/RS
06/04/2003;16:00;Bahia/BA;1x2;Flamengo/RJ
06/04/2003;18:00;Vasco/RJ;6x4;Goiás/GO
06/04/2003;16:00;Figueirense/SC;3x3;Corinthians/SP
06/04/2003;18:00;São Paulo/SP;2x4;Cruzeiro/MG
06/04/2003;16:00;Paysandu/PA;1x2;Vitória/BA
06/04/2003;16:00;Ponte Preta/SP;1x0;Juventude/RS
06/04/2003;17:00;Paraná/PR;3x0;Atlético/PR
06/04/2003;16:00;São Caetano/SP;3x2;Criciúma/SC
09/04/2003;21:40;Paysandu/PA;2x1;Santos/SP
12/04/2003;16:00;Internacional/RS;2x0;Bahia/BA
12/04/2003;16:00;Atlético/PR;1x2;Atlético/MG
12/04/2003;16:00;Santos/SP;2x0;Figueirense/SC
12/04/2003;18:00;Corinthians/SP;6x1;Paysandu/PA
13/04/2003;18:00;Cruzeiro/MG;3x0;Ponte Preta/SP
13/04/2003;18:00;Flamengo/RJ;4x1;Fluminense/RJ
13/04/2003;16:00;Criciúma/SC;1x1;São Paulo/SP
13/04/2003;16:00;Vitória/BA;2x1;Vasco/RJ
13/04/2003;16:00;Fortaleza/CE;1x1;São Caetano/SP
13/04/2003;16:00;Juventude/RS;2x1;Coritiba/PR
13/04/2003;16:00;Guarani/SP;2x0;Paraná/PR
13/04/2003;16:00;Goiás/GO;1x1;Grêmio/RS
16/04/2003;21:40;São Caetano/SP;1x1;Flamengo/RJ
16/04/2003;21:40;Vasco/RJ;2x2;Corinthians/SP
16/04/2003;20:30;Bahia/BA;3x1;Juventude/RS
16/04/2003;21:40;Grêmio/RS;2x1;Vitória/BA
16/04/2003;21:40;Coritiba/PR;3x4;Cruzeiro/MG
16/04/2003;21:40;Atlético/MG;3x2;Guarani/SP
16/04/2003;21:40;Figueirense/SC;1x1;Atlético/PR
16/04/2003;21:40;Ponte Preta/SP;1x1;Criciúma/SC
17/04/2003;20:30;Fluminense/RJ;3x1;Internacional/RS
17/04/2003;20:30;Paraná/PR;3x1;Goiás/GO
17/04/2003;20:30;São Paulo/SP;3x1;Fortaleza/CE
19/04/2003;18:00;Flamengo/RJ;0x2;Santos/SP
19/04/2003;18:00;São Caetano/SP;1x1;Grêmio/RS
19/04/2003;16:00;Bahia/BA;2x4;Atlético/MG
20/04/2003;16:00;São Paulo/SP;3x1;Vasco/RJ
20/04/2003;18:00;Fluminense/RJ;0x0;Paraná/PR
20/04/2003;18:00;Cruzeiro/MG;4x1;Goiás/GO
20/04/2003;16:00;Internacional/RS;2x1;Corinthians/SP
20/04/2003;16:00;Ponte Preta/SP;4x4;Paysandu/PA
20/04/2003;16:00;Fortaleza/CE;1x0;Atlético/PR
20/04/2003;16:00;Juventude/RS;1x1;Vitória/BA
20/04/2003;16:00;Coritiba/PR;1x0;Figueirense/SC
20/04/2003;16:00;Criciúma/SC;1x0;Guarani/SP
26/04/2003;17:00;Paraná/PR;3x1;Bahia/BA
26/04/2003;18:00;Guarani/SP;1x1;Cruzeiro/MG
26/04/2003;16:00;Vitória/BA;0x3;Internacional/RS
26/04/2003;16:00;Atlético/MG;1x2;Coritiba/PR
27/04/2003;16:00;Grêmio/RS;0x1;Fluminense/RJ
27/04/2003;16:00;Corinthians/SP;1x1;Flamengo/RJ
27/04/2003;18:00;Vasco/RJ;1x0;São Caetano/SP
27/04/2003;16:00;Goiás/GO;7x0;Juventude/RS
27/04/2003;18:00;Paysandu/PA;5x1;São Paulo/SP
27/04/2003;16:00;Santos/SP;4x0;Fortaleza/CE
27/04/2003;16:00;Atlético/PR;5x2;Criciúma/SC
27/04/2003;16:00;Figueirense/SC;0x0;Ponte Preta/SP
03/05/2003;16:00;Flamengo/RJ;2x1;Vitória/BA
03/05/2003;16:00;Bahia/BA;2x1;Grêmio/RS
03/05/2003;18:00;Cruzeiro/MG;5x2;Atlético/PR
04/05/2003;18:00;Fluminense/RJ;0x0;Vasco/RJ
04/05/2003;16:00;Fortaleza/CE;1x2;Corinthians/SP
04/05/2003;16:00;São Paulo/SP;3x2;Figueirense/SC
04/05/2003;16:00;São Caetano/SP;2x0;Paysandu/PA
04/05/2003;16:00;Internacional/RS;2x1;Goiás/GO
04/05/2003;16:00;Ponte Preta/SP;2x1;Atlético/MG
04/05/2003;16:00;Juventude/RS;1x1;Guarani/SP
04/05/2003;16:00;Coritiba/PR;2x1;Paraná/PR
04/05/2003;18:00;Criciúma/SC;1x3;Santos/SP
